FINISHING THE JOB,What Are You Doing?
ULTIMATE GUIDEBOOK,Thing
PEACE OF MIND,Phrase
HIKING BOOTS,Things
ABBREVIATIONS,Things
SHRUG IT OFF,Phrase
AUTHOR,Occupation
WHAT A BUSYBODY,Phrase
HAT AND COAT,Things
BIKINI TOP,Thing
OVERACHIEVERS,People
FINICKY PUPPY,Living Thing
WRAPPING A PACKAGE,What Are You Doing?
YOUNGSTOWN OHIO,On the Map
SWAN DIVE,Thing
CROWDED HARBOR,Place
HOME PROJECT,Thing
QUITE ALIKE,Phrase
FISHING BUDDY,Person
FOUR QUARTS,Things
A HIT OR A MISS,Phrase
CHECK IT OFF,Phrase
CASHMERE SWEATER,Thing
BLOOD TYPE,Thing
EPIC VOYAGE,Event
WILD BRONCO,Living Thing
REWARD,Thing
CATCH YOUR BREATH,Phrase
MAKE A MUSCLE,Phrase
GLAZED HAM,Thing
BUYING POWER,Thing
CHILD,Person
GROUNDBREAKING DISCOVERY,Event
MAKING HEADWAY,Phrase
PART OF THE BARGAIN,Phrase
MOUNTAIN HIDEAWAY,Place
FEBRUARY,Thing
PUSH AHEAD,Phrase
GO FOR A WALK,Phrase
SOLID PROOF,Phrase
JUPITER,Place
ANTIQUE HUTCH,Around the House
SHOWER THONGS,Things
A HUGE GAMBLE,Thing
DECK CHAIR,Thing
RAGGEDY ANDY,Fictional Character
TOUGH BUT FAIR,Phrase
DIPLOMA,Thing
JOIN THE PARTY,Phrase
THAT ABOUT WRAPS IT UP,Phrase
TUBA,Thing
CLOGGED PIPE,Thing
JOY,Thing
EXHIBIT A,Thing
GOOD QUESTION,Thing
UNIQUE POINT OF VIEW,Thing
BARBER SHOP,Place
YOUNG PRODIGY,Person
HOWLING WIND,Thing
BUSINESS TRIP,Thing
BROADWAY,Show Biz
PANTRY,Place
BACKSTAGE,Place
A MIGHTY OAK,Thing
CHILI POWDER,Food & Drink
MOVIEGOER,Person
A ROYAL FLUSH,Fun & Games
I'M CURIOUS,Phrase
THUMBPRINT,Thing
GOOF AROUND,Phrase
WAY BEHIND,Phrase
JOB APPLICANT,Person
GYPSY MOTH,Living Thing
FLUFFY RABBIT,Living Thing
COVER CHARGE,Thing
BOUND TO HAPPEN,Phrase
BARELY MADE IT,Phrase
FORGING ONWARD,What Are You Doing?
GUMDROPS,Things
BOUNCING BACK,Phrase
CLAY PIGEON,Thing
PILLOW,Around the House
PUPPET,Thing
VAMPIRE,Fictional Character
BANDAGES,Things
KUWAIT,On the Map
WATCHING A WORKOUT VIDEO,Fun & Games
LOGICAL CONCLUSION,Thing
BARGAIN HUNTING,What Are You Doing?
HAVE A BITE,Phrase
A QUICK JOG DURING LUNCH,Fun & Games
SHAMPOO,Thing
OATMEAL,Thing
SATURDAY NIGHT LIVE,Title
FASHIONABLE BOUTIQUE,Place
GUST OF AIR,Thing
JUST PEACHY,Phrase
COZY BLANKET,Thing
OLIVES AND FIGS,Food & Drink
GIFT EXCHANGE,Event
LARGE PACKING BOXES,Around the House
WILD-GOOSE CHASE,Phrase
FRONTAL SYSTEM,Thing
A BUSY THOROUGHFARE,Place
I BLEW IT,Phrase
BEIGE JACKET,Thing
VAST MAJORITY,Phrase
ALWAYS IN DEMAND,Phrase
BOILING POINT,Phrase
SHOW YOUR STUFF,Phrase
AVIATOR JACKET,Thing
ORGANIC KALE AND SPINACH,Food & Drink
COMPLEX MAZE,Thing
VIEWPOINT,Thing
CHUNKY SOUP,On the Menu
BAKED OR FRIED,Phrase
AVID BACKPACKER,Person
GENIUS,Person
BAR OF SOAP,Thing
JOKES AND PUNS,Things
TOPEKA,On the Map
GOLF VISOR,Thing
HUMBLE BEGINNINGS,Phrase
JAZZ CLUBS,Places
ORGANIC FRUIT JUICE,Food & Drink
VALUABLE ADVICE,Thing
ALIBI,Thing
A MIGHTY GOOD TIME,Phrase
STAYING ABOVE THE FRAY,What Are You Doing?
SKIM THE SURFACE,Phrase
FANCY FOOTWORK,Thing
VETO POWER,Phrase
HOME BEFORE DARK,Phrase
BANJO MUSIC,Thing
IN THE MIX,Phrase
I'M TICKLISH,Phrase
SHUTOUT,Event
GOLD COINS,Thing
WACKY NEIGHBORS,People
OFFBEAT APPROACH,Thing
LOOKING FOR A QUICK FIX,What Are You Doing?
STICKPIN,Thing
CURIOSITY,Thing
KEEP BUSY,Phrase
FUDGE BROWNIE RECIPE,Thing
CHIT-CHAT,Thing
I HAVE TO GO HOME,Phrase
BIKING TO WORK,What Are You Doing?
POP THE HOOD,Phrase
PERFECT DISGUISE,Thing
FLIP-FLOP,Phrase
IN FINE FORM,Phrase
BLANK CHECK,Thing
CLIMATE,Thing
MOCKINGBIRD,Living Thing
A CLEAN SHAVE,Thing
VIEWING A FILM,What Are You Doing?
EVERY WHICH WAY,Phrase
PROMISES PROMISES,Title
JUST WINGING IT,What Are You Doing?
JACK OF CLUBS,Thing
VILLAGE,Place
WAGON,Thing
MORNING DEWDROPS,Things
MUGS AND CUPS,In the Kitchen
BASKET,Thing
TOUGH TO AVOID,Phrase
BARKING WATCHDOGS,Living Things
DINOSAUR EXHIBIT,Thing
RHUBARB PIE,On the Menu
BATH PRODUCTS,Around the House
CUDDLY KOALA,Living Thing
EXPERIMENT,Thing
LUCKY BREAK,Phrase
MOIST BROWNIES,Food & Drink
APRICOT JAM,Food & Drink
GLAMOUR,Title
BRIGHT GLOW,Thing
GOULASH,Thing
NAIROBI,On the Map
FOUNDING PARTNER,Person
TAPIOCA PUDDING,Food & Drink
PHOTO BOOTH,Place
FED UP,Slang
WHOLE WHEAT PASTA,Food & Drink
CLOUDS AND FOG,Things
BUZZING WITH ACTIVITY,Phrase
BANDWIDTH,Thing
A BUNCH OF GOOD KIDS,People
NO HARM DONE,Phrase
FOCUS ON YOUR WORK,Phrase
CLASS RING,Thing
BEHIND THE SCENES,Phrase
OH MY GOSH,Phrase
PINK FEATHER BOA,Thing
MOVING RIGHT ALONG,What Are You Doing?
BIOGRAPHICAL INFORMATION,Thing
GAS LOG,Around the House
CANDIED YAMS,Things
WINDBREAKER,Thing
BOBBING FOR APPLES,Fun & Games
BIRD,Thing
I HAD A HUNCH,Phrase
DO NOT BUDGE,Phrase
HOMETOWN FAVORITE,Thing
VOTING BOOTH,Place
PAYING YOUR DUES,Phrase
JOINING THE FRAY,What Are You Doing?
PLAQUE,Thing
MANICURIST,Occupation
BUZZWORD,Thing
WHITE BLAZER,What Are You Wearing?
SWEAT SHIRT,Thing
TULIP,Thing
GARY INDIANA,On the Map
IN GOOD COMPANY,Phrase
PIZZA TOPPING,Food & Drink
PEAK HOURS,Things
CAB FARE,Thing
PICKING UP THE KIDS,What Are You Doing?
GOURMET COOK,Person
HITCHING POST,Thing
CHOREOGRAPHY,Thing
NIAGARA FALLS,Place
OPENING THE VAULT,What Are You Doing?
FACTORY WORKER,Occupation
DUMB JOKES,Fun & Games
DEEP IN THOUGHT,Phrase
GROUP PORTRAIT,Thing
OVERHEAD PROJECTOR,Thing
A GROUP OF HEDGEHOGS,Living Things
HUGGIES,Around the House
CLOWN,Person
SHARP IMAGE,Thing
HOOTING OWLS,Living Things
DUNE BUGGY,Thing
HYMN,Thing
YOU DO THE MATH,Phrase
A DOZEN BAGELS,Food & Drink
ON THE HORIZON,Phrase
CALM DOWN,Phrase
DUDE RANCH,Place
PLAID PAJAMAS,Things
BALD HEAD,Thing
DON'T WAKE THE KIDS,Phrase
RACCOON,Thing
DON'T GIVE UP,Phrase
ARUBA,On the Map
APPLYING FOR A JOB,What Are You Doing?
FAN CLUB,People
KIDS OF ALL AGES,People
BLOWOUT,Event
FUZZY AND WARM,Phrase
QUART OF GOAT MILK,Food & Drink
FLUID,Thing
DAILY BLOG,Thing
AWESOME DIGITAL PHOTOS,Things
SHANGHAI,Place
JEAN JACKET,What Are You Wearing?
DRILL SERGEANT,Person
RODEO,Event
DOUBLE-PARKING,What Are You Doing?
BUBBLY SOAP,Thing
REACH FOR THE SKY,Phrase
OUT OF REACH,Phrase
PROPER TECHNIQUE,Thing
NIFTY GADGET,Thing
IT MIGHT BE HELPFUL,Phrase
DAILY DIARY,Thing
TV ANCHOR,Occupation
JEOPARDY,Title
WAFFLE IRON,Thing
BOOTS,Things
POKER GAME,Event
HOURS OF OPERATION,Things
FLOWING CAPE,What Are You Wearing?
DUGOUT,Place
IN THE PUBLIC SQUARE,Phrase
BACK PAGE,Thing
UPPER DECK,Place
BASH,Thing
YOU'VE GOT SPUNK,Phrase
ADJECTIVES,Things
MACHINE WASHABLE,Phrase
HOT GOSSIP,Thing
KETCHUP,Thing
AT FACE VALUE,Phrase
THEY FIZZLED OUT,Phrase
I OWE YOU A HUGE FAVOR,Phrase
HIGHLY PROFITABLE,Phrase
A VOIDED CHECK,Thing
OUT OF YOUR COMFORT ZONE,Phrase
A VERY FIRM HOLD,Phrase
DRAGONFLY,Living Thing
GRILLED CHEESE SANDWICH,Thing
QUIRKY CHARACTER,Person
GREAT CHOICE,Thing
MAHOGANY DOOR,Thing
LOUDSPEAKER,Thing
NIGHTGOWN,Thing
MOVIE THEATER,Place
TWO IF BY SEA,Quotation
WALKING THE DOG,Event
VOLUME,Thing
RAZOR-THIN,Phrase
WEIGHING OPTIONS,What Are You Doing?
JOURNAL,Thing
RAVE REVIEW,Show Biz
IN BROAD DAYLIGHT,Phrase
QUICK JOG IN THE PARK,Fun & Games
WATERPROOF PONCHO,What Are You Wearing?
FAMOUS AUTHORS,People
MARY & JOSEPH,People
PIPE,Thing
FAMILY FEUD,Title
VALLEY,Place
ONION,Thing
BEAUTIFUL ORCHID,Living Thing
QUEBEC,On the Map
VISA CARD,Thing
EGGNOG,Thing
ZOOM OUT,Phrase
IF YOU KNOW WHAT I MEAN,Phrase
BACK IN THE GROOVE,Phrase
HOT SHOT,Person
LAKE SUPERIOR,Place
SCOREBOARD,Thing
BIG PAYCHECK,Thing
VIEW FROM ABOVE,Phrase
BIKE SHOP,Place
CRYING WOLF,Phrase
KIND OFFER,Thing
A TRICKY PUZZLE,Fun & Games
FICUS,Living Thing
BUTCHER,Occupation
HOURLY FORECAST,Thing
THROWN FOR A LOOP,Phrase
FORMER MAYOR,Person
THUMBTACK,Thing
POPULAR QUOTE,Thing
TRENCH COAT,Thing
SILK BLOUSE,Thing
WILLIE MAYS,Person
AUTUMN,Thing
PIGTAIL,Thing
A TOPAZ RING,Thing
ON THE BLINK,Phrase
YOU HAVE MY WORD,Phrase
NIP AND TUCK,Phrase
YOUNG HOBBIT,Character
NEIGHBORHOOD,Place
GOLD ALBUM,Show Biz
FLOWING BROOK,Place
A LAUGH RIOT,Phrase
KITCHEN SINK,Thing
HORSERADISH,Thing
ARSENIC AND OLD LACE,Title
MORSE CODE,Thing
SKI PATROL,People
JUNK,Thing
FOLDED NAPKINS,Around the House
MATH PRODIGY,Person
OVER AND OUT,Phrase
FOCAL POINT,Thing
POWER SURGE,Thing
BADGE,Thing
HANDKERCHIEF,Thing
SLOW MOTION,Phrase
PAISLEY FABRIC,Thing
A USEFUL DEVICE,Thing
SHOEHORN,Thing
HUBBIES,People
GREAT AMBITION,Thing
A GUSTY DAY,Event
RADIO WAVES,Things
FORMING BONDS,What Are You Doing?
GROUP EFFORT,Thing
SAGEBRUSH,Living Things
BAKING SUPPLIES,In the Kitchen
POOL CUES,Fun & Games
ORLANDO FLORIDA,Place
SYNONYM,Thing
SHIP AHOY,Phrase
FOR WHAT IT'S WORTH,Phrase
NOUNS AND PRONOUNS,Things
MISSIONARY,Person
PRIVACY,Thing
CHILI SAUCE,Thing
GLOBAL MAP,Thing
FISTFIGHT,Event
SKYLIGHT,Thing
SHRUB,Thing
ORIGINAL FOUNDER,Person
LIQUID,Thing
GUARDIAN,Person
A BOX OF GOODIES,Thing
PRIME THE PUMP,Phrase
AVERAGE PRICE,Thing
POT ROAST,Thing
FRIDAY NIGHT,Thing
YACHT,Thing
TANGY FLAVOR,Thing
PICNIC LUNCH,Thing
I GAVE HIM AN EARFUL,Phrase
BY THE BOOK,Phrase
OFFERING SOME HELP,What Are You Doing?
AERIAL FOOTAGE,Thing
JUMPING FOR JOY,Phrase
IT GROWS ON YOU,Phrase
FRESH APPROACH,Phrase
FUN TO WATCH,Phrase
ROUSING APPLAUSE,Thing
DON'T BE CRUEL,Title
BOWLING PIN,Thing
JUDGE JUDY,Title
OCEAN VOYAGE,Event
KICKING A FIELD GOAL,Fun & Games
HANDPICKED FRUIT,Food & Drink
WOOL GLOVES,Things
MAJOR HUB,Place
I'M FLEXIBLE,Phrase
IT WAS JUST A HUNCH,Phrase
THE USUAL HANGOUT,Place
CERAMIC COOKWARE,In the Kitchen
IDAHO POTATOES,Things
FLEXIBILITY,Thing
YARD WORK,Thing
FORMER OCCUPANT,Person
WANDER AROUND,Phrase
LOOK OUT BELOW,Phrase
ROOM & BOARD,Phrase
HANGING OUT,Slang
UNBIASED OPINION,Thing
THEY OWE ME A FAVOR,Phrase
IT TAKES KNOW-HOW,Phrase
DOGGONE IT,Phrase
BABY KOALA,Living Thing
TOPIC,Thing
HAPPY AND JOYFUL,Phrase
PLAYFUL GIANT PANDAS,Living Things
TRADITION,Thing
BABY CRIB,Around the House
MAKING A WISH,What Are You Doing?
WE GO BY THE BOOK,Phrase
ABOUT TO BEGIN,Phrase
A BRIEF CHAT,Event
BODY LANGUAGE,Phrase
NOW I KNOW,Phrase
GHOST TOWN,Place
WORKBENCH,Around the House
BLUE SKY,Thing
CARBON COPY,Thing
BACKYARD GAZEBO,Thing
PLYWOOD BOX,Thing
NEW YOGA PANTS,What Are You Wearing?
OUR OBJECTIVE,Thing
HIT THE NAIL ON THE HEAD,Phrase
A DAIQUIRI,Thing
TASK FORCE,People
BUMPER CROP,Thing
PIZZA PAN,Around the House
YOUNG JACKRABBIT,Living Thing
FOOD VOUCHER,Thing
WARM UP,Phrase
POISON IVY,Thing
GRAB BAG,Thing
COVERED BRIDGE,Thing
BROWN HIP BOOTS,What Are You Wearing?
OLD KING COLE,Fictional Character
FOG HORN,Thing
FENWAY PARK,Landmark
PANEL OF JUDGES,People
SEAFOOD RESTAURANT,Place
BOUQUET,Thing
EMPTY JARS,Around the House
MAYBE I WAS BLUFFING,Phrase
FAINT GLOW,Thing
SPACED OUT,Slang
HOCKEY FAN,Person
MY PRIVATE HIDEOUT,Place
HOUSE KEY,Thing
WORD TO THE WISE,Phrase
DIMPLES,Things
OAK BOOKCASE,Thing
SPECIAL 3000TH - CLIP SHOW,N/A
ORDER BY FAX,Phrase
SAFARI JACKET,Thing
LIGHTS OUT,Phrase
YOLK,Thing
ELEVATOR SHOES,Things
STOPWATCH,Thing
HAZY MORNING,Thing
GORGEOUS VINEYARD,Place
TRAFFIC,Thing
QUALIFIED FOR THE JOB,Phrase
HOT SAUCE,Thing
GORGEOUS FAWN,Living Thing
FROM THE GROUND UP,Phrase
FORMING A FOUNDATION,What Are You Doing?
BOBCAT,Thing
AVID GOLFER,Person
CRYBABY,Person
GYM BUDDIES,People
LIP BALM,Thing
WALK YOUR BIKE,Phrase
SCREWBALL,Person
ORIGINAL IDEA,Thing
A GOOD FIT,Phrase
FROWNING,Event
BAKED ZUCCHINI,Food & Drink
HIT SONG,Thing
MUGGY NIGHT,Thing
COZY OFFICE,Place
WOE IS ME,Phrase
PICK UP THE PHONE,Phrase
VOLUME KNOB,Thing
MASH,Title
TAKE A BOW,Phrase
KENNY ROGERS,Person
SOLID AS A ROCK,Phrase
BARGAIN SHOPPING,Event
OHIOANS,People
CAIRO,Place
BATHTUB,Around the House
POLICE DRAMA,Show Biz
DOWNLOADING A VIDEO,What Are You Doing?
PARTING WAYS,What Are You Doing?
HOLY SMOKE,Phrase
QUALIFIED APPLICANT,Person
I APOLOGIZE,Phrase
QUICK TURNAROUND,Phrase
YANKEE DOODLE,Title
LIBRARY,Place
OUR FAVORITE HANGOUT,Place
JOINED AT THE HIP,Phrase
QUEBEC CANADA,On the Map
ABOVE AND BEYOND,Phrase
GO VIRAL,Phrase
MOVED TO TEARS,Phrase
SOCIAL WORKER,Occupation
COMPANY BIGWIG,Person
AL PACINO,Person
A GOOD LAUGH,Thing
JUDGE AND BAILIFF,Occupations
A QUICK SMOOCH,Thing
RADIO JINGLE,Show Biz
SUCCESS OR FAILURE,Phrase
WEDGE OF LIME,Food & Drink
BAGGY UNIFORM,What Are You Wearing?
SALT AND PEPPER,Things
TIME FOR AN UPGRADE,Phrase
WARM AND FUZZY,Phrase
IN OTHER WORDS,Phrase
FLIGHT BAG,Thing
VACATION HOME,Place
CREAM PUFF,Thing
A HUGE FAVOR,Thing
POCKET MONEY,Thing
BOARDROOM CHAIRS,Things
JOIN US,Phrase
HONEYSUCKLE,Living Thing
DICTATOR,Person
PHOTO BOX,Around the House
WIDE-AWAKE,Phrase
HAM,Thing
MIRACULOUS DISCOVERY,Event
TAP-DANCING,Thing
SPIFFY BLAZER,What Are You Wearing?
PURRING CAT,Thing
A FOREIGN LANGUAGE,Thing
DOLPHINS,Living Things
HAITI,On the Map
BIT OF TRIVIA,Thing
AUDIO & VIDEO,Things
EMPTY SEAT,Place
POWER PACK,Thing
A QUICK BITE,Thing
YEARLY COMPANY BASH,Event
A BRISK PACE,Thing
MAJOR BOULEVARD,Place
JUICY BURGERS,Food & Drink
MARMALADE,Thing
WRONG WAY,Phrase
ACTIVE DUTY,Thing
JUST A HUNCH,Phrase
SPICY GUACAMOLE,Food & Drink
FIXING A GLITCH,What Are You Doing?
TAPIOCA PUDDING,Thing
SQUEAKY HINGE,Around the House
BRIEFCASE,Thing
WOOD VANITY,Around the House
PAY US A VISIT,Phrase
A RIPE MANGO,Thing
HOODED CARDIGAN,What Are You Wearing?
GRIDIRON,Thing
GIFT BOXES,Things
ALWAYS BE HAPPY,Phrase
FLIPPING OUT,What Are You Doing?
SKI BOOTS,Things
THICK AND JUICY,Phrase
CUFF LINKS,Things
BEGONIAS,Living Things
OIL GAUGE,Thing
KNIFE,Thing
MOUND OF PAPERWORK,Thing
FLOPPY EARS,Things
ONWARD AND UPWARD,Phrase
BIRTHDAY WISH,Thing
NIFTY TRICK,Thing
FIELD HOCKEY,Fun & Games
VOWELS,Things
OFFICIAL DUTIES,Things
PIANO MUSIC,Thing
SHRINK-WRAPPED,Phrase
YOU HAVE TO WAIT,Phrase
CUSTER'S LAST STAND,Event
MAGAZINE AD,Thing
VISIONARY GENIUS,Person
A NUGGET OF INFORMATION,Thing
A LOUD VOICE,Thing
CHICAGO ILLINOIS,Place
CUSHION,Thing
WORTH THE WAIT,Phrase
LYRICS,Things
BABY CHICKS,Things
VALUABLE CARGO,Thing
GOSPEL CHOIR,People
MICROSCOPE,Thing
OIL REFINERY,Place
FIGURINE,Thing
SWORDFISH,Thing
GONE HAYWIRE,Phrase
A GLORIOUS OCCASION,Event
OVER MY HEAD,Phrase
BROKER,Occupation
BABY HIPPOS,Living Things
BANK,Place
YOUNG AND BRASH,Phrase
FOOD CRAVINGS,Things
FOR ME AND MY GAL,Title
BABY WIPES,Around the House
TOO QUICKLY,Phrase
MUFFLED VOICES,Things
GADGETS,Things
BIG FLUFFY PILLOW,Around the House
MICHELANGELO,Person
SOAP BUBBLES,Things
I'M OVERJOYED,Phrase
FAMOUS QUOTE,Thing
FRISKY CAT,Thing
GET THE WORD OUT,Phrase
PEPPER MILL,Thing
GIVING BACK,What Are You Doing?
VACUUMING THE HOUSE,What Are You Doing?
BY AND LARGE,Phrase
ITCHING TO GO,Phrase
PAULA ABDUL,Proper Name
DAMP WEATHER,Thing
AVID SUPPORTER,Person
GIFT IDEAS FOR HIM,Phrase
TRACKS,Things
ELLA FITZGERALD,Person
FINGER PAINTING,Thing
PASSWORD,Thing
SWAYING HAMMOCK,Thing
FLEXING MY QUADS,What Are You Doing?
YOUR FAIR SHARE,Phrase
PINK DAISY,Living Thing
FLUFFY BISCUITS,Food & Drink
MANUAL LABOR,Thing
TOP PRIORITY,Phrase
MONARCH,Person
FAIR WAGES,Things
WIDE GAP,Thing
AMPLIFIED MUSIC,Thing
EXPERT ADVICE,Thing
GOING ON SAFARI,Event
IOWA CITY,Place
SEX APPEAL,Thing
AN ABBEY,Place
FRIAR TUCK,Fictional Character
BUSYWORK,Thing
PLAZA,Place
SKY-HIGH,Rhyme Time
MATRIMONY,Thing
WHAT'S COOKING?,Phrase
HAIRDO,Thing
WINE GOBLET,Thing
CLOSE PROXIMITY,Phrase
WORLDWIDE PHENOMENON,Thing
WALKING A TIGHTROPE,Phrase
TOUGH WORKOUT,Thing
FOAMY LATHER,Thing
UPSCALE BOUTIQUE,Place
HOBBY-HORSE,Thing
ICICLE,Thing
BAFFLING MYSTERY,Thing
RED FOX,Thing
THINK IT OVER,Phrase
IT LOOKS IFFY,Phrase
LEAVE WELL ENOUGH ALONE,Phrase
SIBLING RIVALRY,Thing
BOOKED SOLID,Phrase
VOCABULARY QUIZ,Thing
FORMAL GOWN,Thing
DAILY OUTPUT,Thing
PROUD OWNER,Person
LIFEBOAT,Thing
BANK VAULT,Place
A HEAVY HITTER,Person
PORTFOLIO,Thing
HIGH SCHOOL REUNION,Event
CHECK STUB,Thing
GIFT BOX,Thing
NEW BABY BUGGY,Thing
LUXURY VEHICLE,Thing
PRECIOUS CARGO,Thing
MAPLE TAFFY,Food & Drink
PREVIOUS OCCUPANT,Person
SAY UNCLE,Phrase
BAD HABIT,Thing
UPSY-DAISY,Phrase
LOCKER KEY,Thing
HOUR BY HOUR,Phrase
BUSY HARBOR,Place
JANE EYRE,Title
AVOCADO,Thing
BIG WHEEL,Person
GLOBE,Thing
UPDATING MY WEBSITE,What Are You Doing?
PAGEANT GOWN,Thing
CANADIAN BORDER,Thing
ACHIEVING MY GOALS,What Are You Doing?
FORCE OF GRAVITY,Thing
HI FOLKS,Phrase
HOG HEAVEN,Phrase
DRIFTWOOD,Thing
WOOL JACKET,Thing
PUSSYCAT,Thing
FIG BAR,Food & Drink
MENU,Thing
THE APPLE OF MY EYE,Phrase
A HEFTY SUM,Thing
FOOLPROOF SCHEME,Thing
YOGA PANTS,Things
MOTORBIKE,Thing
MAILBAG,Thing
CAKE MIX,Thing
BLACKBIRD,Thing
MUSEUM,Place
CLIPBOARD,Thing
MILK SHAKE,Thing
IMPROVED QUALITY,Phrase
GOOD BUDDIES,People
BOOKMARK,Thing
PACKAGING SUPPLIES,Things
FIRM HANDSHAKE,Thing
A MOPED,Thing
FLY-FISHING,Event
PURE OXYGEN,Thing
PUFFY CLOUDS,Things
FACT OR FICTION,Phrase
MY GIFT TO YOU,Phrase
